Levee System ID,Annual Probability of Failing Prior to Overtopping,Overtopping Return Period
300005009300.0,0.00131089855737958,50.0
300005009310.0,0.00131089855737958,50.0
300005009315.0,0.00131089855737958,50.0
300005009320.0,0.00131089855737958,50.0
300005009350.0,0.00131089855737958,50.0
300005009375.0,0.00131089855737958,50.0
300005009405.0,0.00131089855737958,50.0
300005009410.0,0.00131089855737958,50.0
300005009450.0,0.00131089855737958,50.0
300005009495.0,0.00131089855737958,50.0
300005009500.0,0.00131089855737958,50.0
300005009510.0,0.00131089855737958,50.0
300005009515.0,0.00131089855737958,50.0
300005009520.0,0.00131089855737958,50.0
300005009540.0,0.00131089855737958,50.0
300005009550.0,0.00131089855737958,50.0
300005009555.0,0.00131089855737958,50.0
300005009575.0,0.00131089855737958,50.0
300005009585.0,0.00131089855737958,50.0
300005009590.0,0.00131089855737958,50.0
300005009595.0,0.00131089855737958,50.0
510005000008.0,0.00131089855737958,50.0
