State,County,Concentration Risk Territory
Louisiana,St. Bernard Parish,C04
Louisiana,St. Charles Parish,C04
Louisiana,St. Helena Parish,C12
Louisiana,St. James Parish,C04
Louisiana,St. John the Baptist Parish,C04
Louisiana,St. Landry Parish,C23
Louisiana,St. Martin Parish,C23
Louisiana,St. Mary Parish,C23
Louisiana,St. Tammany Parish,C04
Louisiana,Tangipahoa Parish,C04
Louisiana,Tensas Parish,H6
Louisiana,Terrebonne Parish,C35
Louisiana,Union Parish,H6
Louisiana,Vermilion Parish,C23
Louisiana,Vernon Parish,H6
Louisiana,Washington Parish,C04
Louisiana,Webster Parish,H9
Louisiana,West Baton Rouge Parish,C12
Louisiana,West Carroll Parish,H6
Louisiana,West Feliciana Parish,C12
Louisiana,Winn Parish,H6
Maine,Androscoggin County,H15
Maine,Aroostook County,H15
Maine,Cumberland County,H15
Maine,Franklin County,H15
Maine,Hancock County,H15
Maine,Kennebec County,H15
Maine,Knox County,H15
Maine,Lincoln County,H15
Maine,Oxford County,H15
Maine,Penobscot County,H15
Maine,Piscataquis County,H15
Maine,Sagadahoc County,H15
Maine,Somerset County,H15
Maine,Waldo County,H15
Maine,Washington County,H15
Maine,York County,H15
Maryland,Allegany County,H3
Maryland,Anne Arundel County,C22
Maryland,Baltimore County,C22
Maryland,Calvert County,C22
Maryland,Caroline County,H3
Maryland,Carroll County,C22
Maryland,Cecil County,C08
Maryland,Charles County,C22
Maryland,Dorchester County,C22
Maryland,Frederick County,C22
Maryland,Garrett County,H7
Maryland,Harford County,C22
Maryland,Howard County,C22
Maryland,Kent County,H3
Maryland,Montgomery County,C22
Maryland,Prince George's County,C22
Maryland,Queen Anne's County,C22
Maryland,St. Mary's County,C22
Maryland,Somerset County,C18
Maryland,Talbot County,C22
Maryland,Washington County,C22
Maryland,Wicomico County,C18
Maryland,Worcester County,C18
Maryland,Baltimore city,C22
Massachusetts,Barnstable County,C14
Massachusetts,Berkshire County,H15
Massachusetts,Bristol County,C14
Massachusetts,Dukes County,H15
Massachusetts,Essex County,C14
Massachusetts,Franklin County,H15
Massachusetts,Hampden County,H15
Massachusetts,Hampshire County,H15
Massachusetts,Middlesex County,C14
Massachusetts,Nantucket County,H15
Massachusetts,Norfolk County,C14
Massachusetts,Plymouth County,C14
Massachusetts,Suffolk County,C14
Massachusetts,Worcester County,C14
Michigan,Alcona County,H2
Michigan,Alger County,H2
Michigan,Allegan County,H2
Michigan,Alpena County,H2
Michigan,Antrim County,H2
Michigan,Arenac County,H2
Michigan,Baraga County,H2
Michigan,Barry County,H2
Michigan,Bay County,H2
Michigan,Benzie County,H2
Michigan,Berrien County,H2
Michigan,Branch County,H2
Michigan,Calhoun County,H2
Michigan,Cass County,H2
Michigan,Charlevoix County,H2
Michigan,Cheboygan County,H2
Michigan,Chippewa County,H2
Michigan,Clare County,H2
Michigan,Clinton County,H2
Michigan,Crawford County,H2
Michigan,Delta County,H2
Michigan,Dickinson County,H2
Michigan,Eaton County,H2
Michigan,Emmet County,H2
Michigan,Genesee County,H2
Michigan,Gladwin County,H2
Michigan,Gogebic County,H2
Michigan,Grand Traverse County,H2
Michigan,Gratiot County,H2
Michigan,Hillsdale County,H2
Michigan,Houghton County,H2
Michigan,Huron County,H2
Michigan,Ingham County,H2
Michigan,Ionia County,H2
Michigan,Iosco County,H2
Michigan,Iron County,H2
Michigan,Isabella County,H2
Michigan,Jackson County,H2
Michigan,Kalamazoo County,H2
Michigan,Kalkaska County,H2
Michigan,Kent County,H2
Michigan,Keweenaw County,H2
Michigan,Lake County,H2
Michigan,Lapeer County,H2
Michigan,Leelanau County,H2
Michigan,Lenawee County,H2
Michigan,Livingston County,H2
Michigan,Luce County,H2
Michigan,Mackinac County,H2
Michigan,Macomb County,H2
Michigan,Manistee County,H2
Michigan,Marquette County,H2
Michigan,Mason County,H2
Michigan,Mecosta County,H2
Michigan,Menominee County,H2
Michigan,Midland County,H2
Michigan,Missaukee County,H2
Michigan,Monroe County,H2
Michigan,Montcalm County,H2
Michigan,Montmorency County,H2
Michigan,Muskegon County,H2
Michigan,Newaygo County,H2
Michigan,Oakland County,H2
Michigan,Oceana County,H2
Michigan,Ogemaw County,H2
Michigan,Ontonagon County,H2
Michigan,Osceola County,H2
Michigan,Oscoda County,H2
Michigan,Otsego County,H2
Michigan,Ottawa County,H2
Michigan,Presque Isle County,H2
Michigan,Roscommon County,H2
Michigan,Saginaw County,H2
Michigan,St. Clair County,H2
Michigan,St. Joseph County,H2
Michigan,Sanilac County,H2
Michigan,Schoolcraft County,H2
Michigan,Shiawassee County,H2
Michigan,Tuscola County,H2
Michigan,Van Buren County,H2
Michigan,Washtenaw County,H2
Michigan,Wayne County,H2
Michigan,Wexford County,H2
Minnesota,Aitkin County,H11
Minnesota,Anoka County,H11
Minnesota,Becker County,H11
Minnesota,Beltrami County,H11
Minnesota,Benton County,H11
Minnesota,Big Stone County,H11
Minnesota,Blue Earth County,H11
Minnesota,Brown County,H11
Minnesota,Carlton County,H11
Minnesota,Carver County,H11
Minnesota,Cass County,H11
Minnesota,Chippewa County,H11
Minnesota,Chisago County,H11
Minnesota,Clay County,H11
Minnesota,Clearwater County,H11
Minnesota,Cook County,H2
Minnesota,Cottonwood County,H11
Minnesota,Crow Wing County,H11
Minnesota,Dakota County,H11
Minnesota,Dodge County,H11
Minnesota,Douglas County,H11
Minnesota,Faribault County,H11
Minnesota,Fillmore County,H11
Minnesota,Freeborn County,H11
Minnesota,Goodhue County,H11
Minnesota,Grant County,H11
Minnesota,Hennepin County,H11
Minnesota,Houston County,H11
Minnesota,Hubbard County,H11
Minnesota,Isanti County,H11
Minnesota,Itasca County,H11
Minnesota,Jackson County,H11
Minnesota,Kanabec County,H11
Minnesota,Kandiyohi County,H11
Minnesota,Kittson County,H11
Minnesota,Koochiching County,H11
Minnesota,Lac qui Parle County,H11
Minnesota,Lake County,H2
Minnesota,Lake of the Woods County,H11
Minnesota,Le Sueur County,H11
Minnesota,Lincoln County,H11
Minnesota,Lyon County,H11
Minnesota,McLeod County,H11
Minnesota,Mahnomen County,H11
Minnesota,Marshall County,H11
Minnesota,Martin County,H11
Minnesota,Meeker County,H11
Minnesota,Mille Lacs County,H11
Minnesota,Morrison County,H11
Minnesota,Mower County,H11
Minnesota,Murray County,H11
Minnesota,Nicollet County,H11
Minnesota,Nobles County,H10
Minnesota,Norman County,H11
Minnesota,Olmsted County,H11
Minnesota,Otter Tail County,H11
Minnesota,Pennington County,H11
Minnesota,Pine County,H11
Minnesota,Pipestone County,H10
Minnesota,Polk County,H11
Minnesota,Pope County,H11
Minnesota,Ramsey County,H11
Minnesota,Red Lake County,H11
Minnesota,Redwood County,H11
Minnesota,Renville County,H11
Minnesota,Rice County,H11
Minnesota,Rock County,H10
Minnesota,Roseau County,H11
Minnesota,St. Louis County,H2
Minnesota,Scott County,H11
Minnesota,Sherburne County,H11
Minnesota,Sibley County,H11
Minnesota,Stearns County,H11
Minnesota,Steele County,H11
Minnesota,Stevens County,H11
Minnesota,Swift County,H11
Minnesota,Todd County,H11
Minnesota,Traverse County,H11
Minnesota,Wabasha County,H11
Minnesota,Wadena County,H11
Minnesota,Waseca County,H11
Minnesota,Washington County,H11
Minnesota,Watonwan County,H11
Minnesota,Wilkin County,H11
Minnesota,Winona County,H11
Minnesota,Wright County,H11
Minnesota,Yellow Medicine County,H11
Mississippi,Adams County,H6
Mississippi,Alcorn County,H6
Mississippi,Amite County,H6
Mississippi,Attala County,H6
Mississippi,Benton County,H6
Mississippi,Bolivar County,H6
Mississippi,Calhoun County,H6
Mississippi,Carroll County,H6
Mississippi,Chickasaw County,H4
Mississippi,Choctaw County,H6
Mississippi,Claiborne County,H6
Mississippi,Clarke County,H4
Mississippi,Clay County,H4
Mississippi,Coahoma County,H6
Mississippi,Copiah County,H6
Mississippi,Covington County,H4
Mississippi,DeSoto County,H6
Mississippi,Forrest County,H4
Mississippi,Franklin County,H6
Mississippi,George County,H4
Mississippi,Greene County,H4
Mississippi,Grenada County,H6
Mississippi,Hancock County,C26
Mississippi,Harrison County,C26
Mississippi,Hinds County,H6
Mississippi,Holmes County,H6
Mississippi,Humphreys County,H6
Mississippi,Issaquena County,H6
Mississippi,Itawamba County,H4
Mississippi,Jackson County,C26
Mississippi,Jasper County,H4
Mississippi,Jefferson County,H6
Mississippi,Jefferson Davis County,H4
Mississippi,Jones County,H4
Mississippi,Kemper County,H4
Mississippi,Lafayette County,H6
Mississippi,Lamar County,H4
Mississippi,Lauderdale County,H4
Mississippi,Lawrence County,H4
Mississippi,Leake County,H4
Mississippi,Lee County,H4
Mississippi,Leflore County,H6
Mississippi,Lincoln County,H4
Mississippi,Lowndes County,H4
Mississippi,Madison County,H6
Mississippi,Marion County,H4
Mississippi,Marshall County,H6
Mississippi,Monroe County,H4
Mississippi,Montgomery County,H6
Mississippi,Neshoba County,H4
Mississippi,Newton County,H4
Mississippi,Noxubee County,H4
Mississippi,Oktibbeha County,H4
Mississippi,Panola County,H6
Mississippi,Pearl River County,C04
Mississippi,Perry County,H4
Mississippi,Pike County,H6
Mississippi,Pontotoc County,H6
Mississippi,Prentiss County,H4
Mississippi,Quitman County,H6
Mississippi,Rankin County,H4
Mississippi,Scott County,H4
Mississippi,Sharkey County,H6
Mississippi,Simpson County,H4
Mississippi,Smith County,H4
Mississippi,Stone County,H4
Mississippi,Sunflower County,H6
Mississippi,Tallahatchie County,H6
Mississippi,Tate County,H6
Mississippi,Tippah County,H6
Mississippi,Tishomingo County,H16
Mississippi,Tunica County,H6
Mississippi,Union County,H6
Mississippi,Walthall County,H4
Mississippi,Warren County,H6
Mississippi,Washington County,H6
Mississippi,Wayne County,H4
Mississippi,Webster County,H6
Mississippi,Wilkinson County,H6
Mississippi,Winston County,H4
Mississippi,Yalobusha County,H6
Mississippi,Yazoo County,H6
Missouri,Adair County,H10
Missouri,Andrew County,H10
Missouri,Atchison County,H10
Missouri,Audrain County,H11
Missouri,Barry County,H9
Missouri,Barton County,H9
Missouri,Bates County,H10
Missouri,Benton County,H10
Missouri,Bollinger County,H11
Missouri,Boone County,H10
Missouri,Buchanan County,H10
Missouri,Butler County,H9
Missouri,Caldwell County,H10
Missouri,Callaway County,H10
Missouri,Camden County,H10
Missouri,Cape Girardeau County,H11
Missouri,Carroll County,H10
Missouri,Carter County,H9
Missouri,Cass County,H10
Missouri,Cedar County,H10
Missouri,Chariton County,H10
Missouri,Christian County,H9
Missouri,Clark County,H11
Missouri,Clay County,H10
Missouri,Clinton County,H10
Missouri,Cole County,H10
Missouri,Cooper County,H10
Missouri,Crawford County,H11
Missouri,Dade County,H10
Missouri,Dallas County,H10
Missouri,Daviess County,H10
Missouri,DeKalb County,H10
Missouri,Dent County,H11
Missouri,Douglas County,H9
Missouri,Dunklin County,H6
Missouri,Franklin County,H11
Missouri,Gasconade County,H10
Missouri,Gentry County,H10
Missouri,Greene County,H10
Missouri,Grundy County,H10
Missouri,Harrison County,H10
Missouri,Henry County,H10
Missouri,Hickory County,H10
Missouri,Holt County,H10
Missouri,Howard County,H10
Missouri,Howell County,H9
Missouri,Iron County,H6
Missouri,Jackson County,H10
Missouri,Jasper County,H9
Missouri,Jefferson County,H11
Missouri,Johnson County,H10
Missouri,Knox County,H11
Missouri,Laclede County,H10
Missouri,Lafayette County,H10
Missouri,Lawrence County,H9
Missouri,Lewis County,H11
Missouri,Lincoln County,H11
Missouri,Linn County,H10
Missouri,Livingston County,H10
Missouri,McDonald County,H9
Missouri,Macon County,H10
Missouri,Madison County,H6
Missouri,Maries County,H10
Missouri,Marion County,H11
Missouri,Mercer County,H10
Missouri,Miller County,H10
Missouri,Mississippi County,H6
Missouri,Moniteau County,H10
Missouri,Monroe County,H11
Missouri,Montgomery County,H11
Missouri,Morgan County,H10
Missouri,New Madrid County,H6
Missouri,Newton County,H9
Missouri,Nodaway County,H10
Missouri,Oregon County,H9
Missouri,Osage County,H10
Missouri,Ozark County,H9
Missouri,Pemiscot County,H6
Missouri,Perry County,H11
Missouri,Pettis County,H10
Missouri,Phelps County,H10
Missouri,Pike County,H11
Missouri,Platte County,H10
Missouri,Polk County,H10
Missouri,Pulaski County,H10
Missouri,Putnam County,H10
Missouri,Ralls County,H11
Missouri,Randolph County,H10
Missouri,Ray County,H10
Missouri,Reynolds County,H9
Missouri,Ripley County,H9
Missouri,St. Charles County,H11
Missouri,St. Clair County,H10
Missouri,Ste. Genevieve County,H11
Missouri,St. Francois County,H11
Missouri,St. Louis County,H11
Missouri,Saline County,H10
Missouri,Schuyler County,H11
Missouri,Scotland County,H11
Missouri,Scott County,H6
Missouri,Shannon County,H9
Missouri,Shelby County,H11
Missouri,Stoddard County,H6
Missouri,Stone County,H9
Missouri,Sullivan County,H10
Missouri,Taney County,H9
Missouri,Texas County,H10
Missouri,Vernon County,H10
Missouri,Warren County,H10
Missouri,Washington County,H11
Missouri,Wayne County,H6
Missouri,Webster County,H10
Missouri,Worth County,H10
Missouri,Wright County,H10
Missouri,St. Louis city,H11
Montana,Beaverhead County,H10
Montana,Big Horn County,H10
Montana,Blaine County,H10
Montana,Broadwater County,H10
Montana,Carbon County,H10
Montana,Carter County,H10
Montana,Cascade County,H10
Montana,Chouteau County,H10
Montana,Custer County,H10
Montana,Daniels County,H10
Montana,Dawson County,H10
Montana,Deer Lodge County,H14
Montana,Fallon County,H10
Montana,Fergus County,H10
Montana,Flathead County,H14
Montana,Gallatin County,H10
Montana,Garfield County,H10
Montana,Glacier County,H10
Montana,Golden Valley County,H10
Montana,Granite County,H14
Montana,Hill County,H10
Montana,Jefferson County,H10
Montana,Judith Basin County,H10
Montana,Lake County,H14
Montana,Lewis and Clark County,H10
Montana,Liberty County,H10
Montana,Lincoln County,H14
Montana,McCone County,H10
Montana,Madison County,H10
Montana,Meagher County,H10
Montana,Mineral County,H14
Montana,Missoula County,H14
Montana,Musselshell County,H10
Montana,Park County,H10
Montana,Petroleum County,H10
Montana,Phillips County,H10
Montana,Pondera County,H10
Montana,Powder River County,H10
Montana,Powell County,H14
Montana,Prairie County,H10
Montana,Ravalli County,H14
Montana,Richland County,H10
Montana,Roosevelt County,H10
Montana,Rosebud County,H10
Montana,Sanders County,H14
Montana,Sheridan County,H10
Montana,Silver Bow County,H14
Montana,Stillwater County,H10
Montana,Sweet Grass County,H10
Montana,Teton County,H10
Montana,Toole County,H10
Montana,Treasure County,H10
Montana,Valley County,H10
Montana,Wheatland County,H10
Montana,Wibaux County,H10
Montana,Yellowstone County,H10
Nebraska,Adams County,H10
Nebraska,Antelope County,H10
Nebraska,Arthur County,H10
Nebraska,Banner County,H10
Nebraska,Blaine County,H10
Nebraska,Boone County,H10
Nebraska,Box Butte County,H10
Nebraska,Boyd County,H10
Nebraska,Brown County,H10
Nebraska,Buffalo County,H10
Nebraska,Burt County,H10
Nebraska,Butler County,H10
Nebraska,Cass County,H10
Nebraska,Cedar County,H10
Nebraska,Chase County,H10
Nebraska,Cherry County,H10
Nebraska,Cheyenne County,H10
Nebraska,Clay County,H10
Nebraska,Colfax County,H10
Nebraska,Cuming County,H10
Nebraska,Custer County,H10
Nebraska,Dakota County,H10
Nebraska,Dawes County,H10
Nebraska,Dawson County,H10
Nebraska,Deuel County,H10
Nebraska,Dixon County,H10
Nebraska,Dodge County,H10
Nebraska,Douglas County,H10
Nebraska,Dundy County,H10
Nebraska,Fillmore County,H10
Nebraska,Franklin County,H10
Nebraska,Frontier County,H10
Nebraska,Furnas County,H10
Nebraska,Gage County,H10
Nebraska,Garden County,H10
Nebraska,Garfield County,H10
Nebraska,Gosper County,H10
Nebraska,Grant County,H10
Nebraska,Greeley County,H10
Nebraska,Hall County,H10
Nebraska,Hamilton County,H10
Nebraska,Harlan County,H10
Nebraska,Hayes County,H10
Nebraska,Hitchcock County,H10
Nebraska,Holt County,H10
Nebraska,Hooker County,H10
Nebraska,Howard County,H10
Nebraska,Jefferson County,H10
Nebraska,Johnson County,H10
Nebraska,Kearney County,H10
Nebraska,Keith County,H10
Nebraska,Keya Paha County,H10
Nebraska,Kimball County,H10
Nebraska,Knox County,H10
Nebraska,Lancaster County,H10
Nebraska,Lincoln County,H10
Nebraska,Logan County,H10
Nebraska,Loup County,H10
Nebraska,McPherson County,H10
Nebraska,Madison County,H10
Nebraska,Merrick County,H10
Nebraska,Morrill County,H10
Nebraska,Nance County,H10
Nebraska,Nemaha County,H10
Nebraska,Nuckolls County,H10
Nebraska,Otoe County,H10
Nebraska,Pawnee County,H10
Nebraska,Perkins County,H10
Nebraska,Phelps County,H10
Nebraska,Pierce County,H10
Nebraska,Platte County,H10
Nebraska,Polk County,H10
Nebraska,Red Willow County,H10
Nebraska,Richardson County,H10
Nebraska,Rock County,H10
Nebraska,Saline County,H10
Nebraska,Sarpy County,H10
Nebraska,Saunders County,H10
Nebraska,Scotts Bluff County,H10
Nebraska,Seward County,H10
Nebraska,Sheridan County,H10
Nebraska,Sherman County,H10
Nebraska,Sioux County,H10
Nebraska,Stanton County,H10
Nebraska,Thayer County,H10
Nebraska,Thomas County,H10
Nebraska,Thurston County,H10
Nebraska,Valley County,H10
Nebraska,Washington County,H10
Nebraska,Wayne County,H10
Nebraska,Webster County,H10
Nebraska,Wheeler County,H10
Nebraska,York County,H10
Nevada,Churchill County,H8
Nevada,Clark County,H8
Nevada,Douglas County,H8
Nevada,Elko County,H8
Nevada,Esmeralda County,H8
Nevada,Eureka County,H8
Nevada,Humboldt County,H8
Nevada,Lander County,H8
Nevada,Lincoln County,H8
Nevada,Lyon County,H8
Nevada,Mineral County,H8
Nevada,Nye County,H8
Nevada,Pershing County,H8
Nevada,Storey County,H8
Nevada,Washoe County,H8
Nevada,White Pine County,H8
Nevada,Carson City,H8
New Hampshire,Belknap County,C14
New Hampshire,Carroll County,H15
New Hampshire,Cheshire County,H15
New Hampshire,Coos County,H15
New Hampshire,Grafton County,H15
New Hampshire,Hillsborough County,C14
New Hampshire,Merrimack County,C14
New Hampshire,Rockingham County,C14
New Hampshire,Strafford County,C14
New Hampshire,Sullivan County,H15
New Jersey,Atlantic County,C08
New Jersey,Bergen County,C03
New Jersey,Burlington County,C08
New Jersey,Camden County,C08
New Jersey,Cape May County,C08
New Jersey,Cumberland County,C08
New Jersey,Essex County,C03
New Jersey,Gloucester County,C08
New Jersey,Hudson County,C03
New Jersey,Hunterdon County,C03
New Jersey,Mercer County,C03
New Jersey,Middlesex County,C03
New Jersey,Monmouth County,C03
New Jersey,Morris County,C03
New Jersey,Ocean County,C03
New Jersey,Passaic County,C03
New Jersey,Salem County,C08
New Jersey,Somerset County,C03
New Jersey,Sussex County,C03
New Jersey,Union County,C03
New Jersey,Warren County,C03
New Mexico,Bernalillo County,H8
New Mexico,Catron County,H8
New Mexico,Chaves County,H8
New Mexico,Cibola County,H8
New Mexico,Colfax County,H9
New Mexico,Curry County,H13
New Mexico,De Baca County,H8
New Mexico,Dona Ana County,H8
New Mexico,Eddy County,H8
New Mexico,Grant County,H8
New Mexico,Guadalupe County,H8
New Mexico,Harding County,H9
New Mexico,Hidalgo County,H8
New Mexico,Lea County,H13
New Mexico,Lincoln County,H8
New Mexico,Los Alamos County,H8
New Mexico,Luna County,H8
New Mexico,McKinley County,H8
New Mexico,Mora County,H9
New Mexico,Otero County,H8
New Mexico,Quay County,H9
New Mexico,Rio Arriba County,H8
New Mexico,Roosevelt County,H13
New Mexico,Sandoval County,H8
New Mexico,San Juan County,H8
New Mexico,San Miguel County,H9
New Mexico,Santa Fe County,H8
New Mexico,Sierra County,H8
New Mexico,Socorro County,H8
New Mexico,Taos County,H8
New Mexico,Torrance County,H8
New Mexico,Union County,H9
New Mexico,Valencia County,H8
New York,Albany County,H3
New York,Allegany County,H2
New York,Bronx County,C03
New York,Broome County,H3
New York,Cattaraugus County,H7
New York,Cayuga County,H2
New York,Chautauqua County,H7
New York,Chemung County,H3
New York,Chenango County,H3
New York,Clinton County,H2
New York,Columbia County,H3
New York,Cortland County,H3
New York,Delaware County,H3
New York,Dutchess County,C03
New York,Erie County,H2
New York,Essex County,H2
New York,Franklin County,H2
New York,Fulton County,H3
New York,Genesee County,H2
New York,Greene County,H3
New York,Hamilton County,H3
New York,Herkimer County,H3
New York,Jefferson County,H2
New York,Kings County,C03
New York,Lewis County,H2
New York,Livingston County,H2
New York,Madison County,H3
New York,Monroe County,H2
New York,Montgomery County,H3
New York,Nassau County,C03
New York,New York County,C03
New York,Niagara County,H2
New York,Oneida County,H2
New York,Onondaga County,H2
New York,Ontario County,H2
New York,Orange County,C03
New York,Orleans County,H2
New York,Oswego County,H2
New York,Otsego County,H3
New York,Putnam County,C03
New York,Queens County,C03
New York,Rensselaer County,H3
New York,Richmond County,C03
New York,Rockland County,C03
New York,St. Lawrence County,H2
New York,Saratoga County,H3
New York,Schenectady County,H3
New York,Schoharie County,H3
New York,Schuyler County,H2
New York,Seneca County,H2
New York,Steuben County,H3
New York,Suffolk County,C03
New York,Sullivan County,H3
New York,Tioga County,H3
New York,Tompkins County,H2
New York,Ulster County,C03
New York,Warren County,H3
New York,Washington County,H3
New York,Wayne County,H2
New York,Westchester County,C03
New York,Wyoming County,H2
New York,Yates County,H2
North Carolina,Alamance County,H1
North Carolina,Alexander County,H1
North Carolina,Alleghany County,H7
North Carolina,Anson County,H1
North Carolina,Ashe County,H7
North Carolina,Avery County,H16
North Carolina,Beaufort County,H1
North Carolina,Bertie County,H1
North Carolina,Bladen County,H1
North Carolina,Brunswick County,C15
North Carolina,Buncombe County,H16
North Carolina,Burke County,H1
North Carolina,Cabarrus County,H1
North Carolina,Caldwell County,H1
North Carolina,Camden County,C09
North Carolina,Carteret County,C38
North Carolina,Caswell County,H1
North Carolina,Catawba County,H1
North Carolina,Chatham County,H1
North Carolina,Cherokee County,H16
North Carolina,Chowan County,H1
North Carolina,Clay County,H16
North Carolina,Cleveland County,H1
North Carolina,Columbus County,H1
North Carolina,Craven County,C38
North Carolina,Cumberland County,H1
North Carolina,Currituck County,C09
North Carolina,Dare County,C09
North Carolina,Davidson County,H1
North Carolina,Davie County,H1
North Carolina,Duplin County,H1
North Carolina,Durham County,H1
North Carolina,Edgecombe County,H1
North Carolina,Forsyth County,H1
North Carolina,Franklin County,H1
North Carolina,Gaston County,H1
North Carolina,Gates County,C09
North Carolina,Graham County,H16
North Carolina,Granville County,H1
North Carolina,Greene County,H1
North Carolina,Guilford County,H1
North Carolina,Halifax County,H1
North Carolina,Harnett County,H1
North Carolina,Haywood County,H16
North Carolina,Henderson County,H16
North Carolina,Hertford County,H1
North Carolina,Hoke County,H1
North Carolina,Hyde County,H1
North Carolina,Iredell County,H1
North Carolina,Jackson County,H16
North Carolina,Johnston County,H1
North Carolina,Jones County,C38
North Carolina,Lee County,H1
North Carolina,Lenoir County,H1
North Carolina,Lincoln County,H1
North Carolina,McDowell County,H1
North Carolina,Macon County,H16
North Carolina,Madison County,H16
North Carolina,Martin County,H1
North Carolina,Mecklenburg County,H1
North Carolina,Mitchell County,H16
North Carolina,Montgomery County,H1
North Carolina,Moore County,H1
North Carolina,Nash County,H1
North Carolina,New Hanover County,C42
North Carolina,Northampton County,H1
North Carolina,Onslow County,H1
North Carolina,Orange County,H1
North Carolina,Pamlico County,C38
North Carolina,Pasquotank County,C09
North Carolina,Pender County,C42
North Carolina,Perquimans County,C09
North Carolina,Person County,H1
North Carolina,Pitt County,H1
North Carolina,Polk County,H1
North Carolina,Randolph County,H1
North Carolina,Richmond County,H1
North Carolina,Robeson County,H1
North Carolina,Rockingham County,H1
North Carolina,Rowan County,H1
North Carolina,Rutherford County,H1
North Carolina,Sampson County,H1
North Carolina,Scotland County,H1
North Carolina,Stanly County,H1
North Carolina,Stokes County,H1
North Carolina,Surry County,H1
North Carolina,Swain County,H16
North Carolina,Transylvania County,H16
North Carolina,Tyrrell County,C09
North Carolina,Union County,H1
North Carolina,Vance County,H1
North Carolina,Wake County,H1
North Carolina,Warren County,H1
North Carolina,Washington County,H1
North Carolina,Watauga County,H16
North Carolina,Wayne County,H1
North Carolina,Wilkes County,H1
North Carolina,Wilson County,H1
North Carolina,Yadkin County,H1
North Carolina,Yancey County,H16
North Dakota,Adams County,H10
North Dakota,Barnes County,H11
North Dakota,Benson County,H11
North Dakota,Billings County,H10
North Dakota,Bottineau County,H11
North Dakota,Bowman County,H10
North Dakota,Burke County,H11
North Dakota,Burleigh County,H10
North Dakota,Cass County,H11
North Dakota,Cavalier County,H11
North Dakota,Dickey County,H10
North Dakota,Divide County,H10
North Dakota,Dunn County,H10
North Dakota,Eddy County,H11
North Dakota,Emmons County,H10
North Dakota,Foster County,H10
North Dakota,Golden Valley County,H10
North Dakota,Grand Forks County,H11
North Dakota,Grant County,H10
North Dakota,Griggs County,H11
North Dakota,Hettinger County,H10
North Dakota,Kidder County,H10
North Dakota,LaMoure County,H10
North Dakota,Logan County,H10
North Dakota,McHenry County,H11
North Dakota,McIntosh County,H10
North Dakota,McKenzie County,H10
North Dakota,McLean County,H10
North Dakota,Mercer County,H10
North Dakota,Morton County,H10
North Dakota,Mountrail County,H10
North Dakota,Nelson County,H11
North Dakota,Oliver County,H10
North Dakota,Pembina County,H11
North Dakota,Pierce County,H11
North Dakota,Ramsey County,H11
North Dakota,Ransom County,H11
North Dakota,Renville County,H11
North Dakota,Richland County,H11
North Dakota,Rolette County,H11
North Dakota,Sargent County,H11
North Dakota,Sheridan County,H11
North Dakota,Sioux County,H10
North Dakota,Slope County,H10
North Dakota,Stark County,H10
North Dakota,Steele County,H11
North Dakota,Stutsman County,H10
North Dakota,Towner County,H11
North Dakota,Traill County,H11
North Dakota,Walsh County,H11
North Dakota,Ward County,H11
North Dakota,Wells County,H10
North Dakota,Williams County,H10
Ohio,Adams County,H7
Ohio,Allen County,H2
Ohio,Ashland County,H7
Ohio,Ashtabula County,H2
Ohio,Athens County,H7
Ohio,Auglaize County,H2
Ohio,Belmont County,H7
Ohio,Brown County,H7
Ohio,Butler County,H12
Ohio,Carroll County,H7
Ohio,Champaign County,H12
Ohio,Clark County,H12
Ohio,Clermont County,H7
Ohio,Clinton County,H7
Ohio,Columbiana County,H7
Ohio,Coshocton County,H7
Ohio,Crawford County,H2
Ohio,Cuyahoga County,H2
Ohio,Darke County,H12
Ohio,Defiance County,H2
Ohio,Delaware County,H7
Ohio,Erie County,H2
Ohio,Fairfield County,H7
Ohio,Fayette County,H7
Ohio,Franklin County,H7
Ohio,Fulton County,H2
Ohio,Gallia County,H7
Ohio,Geauga County,H2
Ohio,Greene County,H7
Ohio,Guernsey County,H7
Ohio,Hamilton County,H7
Ohio,Hancock County,H2
Ohio,Hardin County,H7
Ohio,Harrison County,H7
Ohio,Henry County,H2
Ohio,Highland County,H7
Ohio,Hocking County,H7
Ohio,Holmes County,H7
Ohio,Huron County,H2
Ohio,Jackson County,H7
Ohio,Jefferson County,H7
Ohio,Knox County,H7
Ohio,Lake County,H2
Ohio,Lawrence County,H7
Ohio,Licking County,H7
Ohio,Logan County,H12
Ohio,Lorain County,H2
Ohio,Lucas County,H2
Ohio,Madison County,H7
Ohio,Mahoning County,H7
Ohio,Marion County,H7
Ohio,Medina County,H2
Ohio,Meigs County,H7
Ohio,Mercer County,H12
Ohio,Miami County,H12
Ohio,Monroe County,H7
Ohio,Montgomery County,H12
Ohio,Morgan County,H7
Ohio,Morrow County,H7
Ohio,Muskingum County,H7
Ohio,Noble County,H7
Ohio,Ottawa County,H2
Ohio,Paulding County,H2
Ohio,Perry County,H7
Ohio,Pickaway County,H7
Ohio,Pike County,H7
Ohio,Portage County,H7
Ohio,Preble County,H12
Ohio,Putnam County,H2
Ohio,Richland County,H7
Ohio,Ross County,H7
Ohio,Sandusky County,H2
Ohio,Scioto County,H7
Ohio,Seneca County,H2
