HUC12,Levee System ID,Inland Flood,Storm Surge
20200030603.0,1105300080.0,1.834,1.023
20200030603.0,4505000037.0,1.834,1.023
20200030603.0,4505000033.0,1.834,1.026
20200030603.0,4505000004.0,1.834,1.026
20200030603.0,4505000003.0,1.834,1.026
20200030603.0,4505000002.0,1.834,1.026
20200030603.0,4505000001.0,1.834,1.026
20200030603.0,4505000034.0,1.834,1.026
20200030605.0,4505000031.0,1.834,1.023
20200030605.0,4505000032.0,1.834,1.026
20200030605.0,4505000030.0,1.754,1.003
20200030605.0,4505000029.0,1.834,1.023
20200030605.0,1105300081.0,1.834,1.026
20200030605.0,1105100081.0,1.834,1.023
20200030701.0,4505000006.0,1.538,0.993
20200030702.0,4505000006.0,1.747,0.919
20200030804.0,4505000014.0,1.726,1.026
20200040301.0,1205000245.0,1.225,0.0
20200040305.0,4505000013.0,1.213,0.0
20200040309.0,1205000248.0,0.998,0.0
20200040309.0,1205000247.0,0.998,0.0
20200040604.0,1205000048.0,1.259,0.0
20200040604.0,4505000011.0,1.243,0.0
20200040706.0,4505000011.0,1.144,0.0
20200040706.0,1205000048.0,1.259,0.0
20200040808.0,1205000253.0,1.821,0.0
20200041102.0,4505000024.0,1.834,1.026
20200041104.0,4505000024.0,1.834,1.026
20200060906.0,4505000015.0,0.998,1.023
20200070503.0,4505000017.0,1.834,1.026
20200070503.0,4505000016.0,1.834,1.003
20200070504.0,4505000016.0,1.834,1.003
20200070504.0,4505000018.0,1.834,1.023
20200070504.0,4505000017.0,1.834,0.978
20200070605.0,4505000022.0,1.834,1.026
20200070605.0,4505000023.0,1.834,1.003
20200080205.0,4505000028.0,1.834,0.986
20301010403.0,4505000005.0,0.737,1.281
20301010403.0,1205100003.0,0.737,1.281
20301010403.0,1205200003.0,0.693,1.234
20301010403.0,1205100002.0,0.737,1.281
20301010403.0,1205200002.0,0.737,1.281
20301030901.0,1205000068.0,0.998,1.281
20301030906.0,1205000257.0,0.949,0.734
20301040101.0,1205000008.0,1.583,0.336
20301040101.0,1205200001.0,1.611,0.336
20301040101.0,1205000011.0,1.834,0.311
20301040101.0,1205000009.0,1.582,0.263
20301040101.0,4505000026.0,1.583,0.336
20301040101.0,4505000025.0,1.583,0.336
20301040103.0,4505000027.0,1.834,0.201
20301040104.0,4505000027.0,1.542,0.201
20301040202.0,4505000010.0,0.79,0.397
20301040202.0,4505000007.0,0.673,0.298
20301040202.0,4505000008.0,0.815,0.347
20301040202.0,4505000009.0,0.611,0.295
20301040202.0,4505000012.0,0.726,0.417
20301040202.0,1205000013.0,0.683,0.313
20301040402.0,4505000021.0,0.308,0.957
20301040404.0,4505000036.0,0.308,1.589
20301050312.0,1205000244.0,0.308,0.767
20301050405.0,1205000055.0,0.308,1.338
20301050502.0,1205000007.0,0.308,0.253
20301050506.0,1205000007.0,0.308,0.857
20301050507.0,1205000057.0,0.308,1.196
20301050507.0,1205000058.0,0.308,1.196
20302030000.0,4305000051.0,0.637,1.067
20401010303.0,4805000006.0,1.834,0.0
20401010304.0,4805000006.0,1.834,0.0
20401020204.0,4805000008.0,1.834,0.627
20401020505.0,4805000008.0,1.834,0.0
20401030302.0,4805000012.0,1.834,0.0
20401030505.0,4805000012.0,1.834,0.0
20401030601.0,4805000012.0,1.834,0.0
20401030601.0,1305000124.0,1.834,0.0
20401030601.0,1305000118.0,1.834,0.0
20401040805.0,4805000015.0,1.834,0.0
20401040905.0,4805000015.0,1.834,0.0
20401040905.0,4805000010.0,1.834,0.0
20401040905.0,4805000009.0,1.834,0.0
20401050911.0,4805000013.0,1.834,0.556
20401060310.0,4805000016.0,1.8,0.0
20401060602.0,4805000002.0,1.834,0.639
20401060703.0,4805000001.0,1.834,0.641
20401060813.0,4805000003.0,1.834,0.639
20401060813.0,4805000001.0,1.834,0.641
20401060813.0,1305000136.0,1.834,0.639
20401060813.0,1305000138.0,1.834,0.639
20402010201.0,1305000132.0,1.442,0.289
20402010202.0,1305000141.0,1.459,0.301
20402010202.0,1305000131.0,1.459,0.301
20402010405.0,1305000013.0,1.834,0.25
20402010407.0,1305000013.0,1.834,0.245
20402020401.0,1205400003.0,1.757,0.319
20402020401.0,1205400004.0,1.757,0.319
20402020401.0,1205400005.0,1.757,0.319
20402020402.0,4805000004.0,1.726,0.307
20402020403.0,1205400006.0,1.757,0.332
20402020403.0,1205400009.0,1.757,0.332
20402020403.0,1205400008.0,1.757,0.332
20402020403.0,1205400007.0,1.757,0.332
20402020403.0,1205200120.0,1.757,0.332
20402020405.0,1205400016.0,1.375,0.315
20402020405.0,1205400009.0,1.375,0.315
20402020405.0,1205400017.0,1.375,0.315
20402020405.0,1205400011.0,1.375,0.315
20402020405.0,1205400010.0,1.375,0.315
20402020405.0,1205400012.0,1.375,0.315
20402020405.0,1205400013.0,1.375,0.315
20402020405.0,1205000121.0,1.375,0.315
20402020405.0,1205000122.0,1.375,0.315
20402020405.0,1205400015.0,1.375,0.315
20402020503.0,1205000134.0,1.375,0.209
20402020505.0,1305000532.0,1.19,0.379
20402020505.0,1305000531.0,1.245,0.377
20402020505.0,1305000533.0,1.245,0.377
20402020507.0,1305000535.0,1.375,0.209
20402020507.0,1305000526.0,1.375,0.209
20402020507.0,1205000135.0,1.375,0.209
20402020507.0,1305000536.0,1.375,0.209
20402020507.0,1205000134.0,1.375,0.209
20402020507.0,1305000527.0,1.375,0.209
20402020507.0,1205000136.0,1.375,0.209
20402020507.0,1305000525.0,1.375,0.209
20402020507.0,1305000530.0,1.375,0.209
20402020507.0,1305000528.0,1.375,0.209
20402020507.0,1305000529.0,1.375,0.209
20402020507.0,1305000534.0,1.375,0.209
20402020507.0,4805000011.0,1.365,0.201
20402020507.0,430005400019.0,1.176,0.201
20402020605.0,4805000005.0,1.834,0.239
20402020606.0,1205000043.0,1.834,0.26
20402020606.0,1205000042.0,1.834,0.239
20402020607.0,1205000041.0,1.834,0.239
20402020607.0,1305000523.0,1.834,0.239
20402020607.0,1205000042.0,1.834,0.239
20402020607.0,1205000137.0,1.834,0.239
20402020607.0,1205000043.0,1.834,0.26
20402020607.0,1205000040.0,1.834,0.239
20402020607.0,4805000011.0,1.739,0.201
20402020607.0,430005400019.0,1.834,0.213
20402020608.0,1205000137.0,1.834,0.239
20402020608.0,1205000138.0,1.834,0.239
20402030207.0,1305000114.0,0.998,0.0
20402030405.0,1305000634.0,1.217,0.0
20402031006.0,1305000140.0,1.375,0.377
20402050701.0,1305000372.0,1.232,0.392
20402050701.0,4805000014.0,1.216,0.334
20402050702.0,190005000000.0,0.788,0.392
20402050702.0,1305000370.0,0.788,0.392
20402050703.0,190005000000.0,0.788,0.275
20402060103.0,1205000141.0,0.788,0.262
20402060103.0,1205000144.0,0.788,0.262
20402060103.0,1205000140.0,0.788,0.262
20402060103.0,1205000139.0,0.788,0.262
20402060103.0,1205000143.0,0.788,0.262
20402060104.0,430005400022.0,0.64,0.246
20402060105.0,1205000142.0,0.462,0.222
20402060105.0,1205000152.0,0.643,0.289
20402060105.0,1205000151.0,0.643,0.289
20402060105.0,1205000153.0,0.643,0.289
20402060106.0,1205000156.0,0.64,0.241
20402060106.0,1205000155.0,0.64,0.241
20402060106.0,1205000157.0,0.64,0.241
20402060106.0,1205000148.0,0.64,0.241
20402060106.0,1205000154.0,0.64,0.241
20402060106.0,1205000158.0,0.64,0.241
20402060106.0,1205000145.0,0.64,0.241
20402060106.0,1205000147.0,0.64,0.241
20402060106.0,430005400023.0,0.6,0.224
20402060106.0,430005400024.0,0.631,0.241
20402060106.0,430005400021.0,0.64,0.241
20402060201.0,1205000167.0,0.804,0.26
20402060202.0,1205400020.0,0.808,0.29
20402060202.0,1205000172.0,0.808,0.289
20402060202.0,1205000254.0,0.808,0.289
20402060202.0,1205000165.0,0.808,0.289
20402060202.0,1205000163.0,0.798,0.29
20402060202.0,1205000166.0,0.808,0.289
20402060203.0,1205000150.0,0.816,0.289
20402060203.0,1205000170.0,0.816,0.289
20402060203.0,1205000168.0,0.816,0.289
20402060203.0,1205000146.0,0.816,0.289
20402060203.0,1205000159.0,0.816,0.289
20402060203.0,1205000162.0,0.798,0.245
20402060203.0,1205000160.0,0.816,0.289
20402060203.0,1205400018.0,0.798,0.29
20402060203.0,1205400020.0,0.792,0.284
20402060303.0,1205000180.0,0.672,0.279
20402060303.0,1205000183.0,0.672,0.279
20402060303.0,1205000178.0,0.672,0.279
20402060303.0,1205000181.0,0.672,0.279
20402060303.0,1205000179.0,0.672,0.279
20402060303.0,1205000182.0,0.672,0.279
20402060303.0,1205000177.0,0.672,0.279
20402060303.0,1205000176.0,0.672,0.279
20402060303.0,1205000187.0,0.672,0.279
20402060303.0,430005400025.0,0.656,0.274
20402060503.0,1205000204.0,0.666,0.294
20402060505.0,1205000204.0,0.666,0.294
20402060507.0,1205000205.0,0.666,0.294
20402060507.0,1205000203.0,0.653,0.222
20402060507.0,430005400026.0,0.65,0.239
20402060601.0,1205000175.0,0.788,0.26
20402060602.0,1205000174.0,0.788,0.273
20402060602.0,1205000150.0,0.788,0.273
20402060603.0,1205000174.0,0.788,0.283
20402060604.0,1205000191.0,0.673,0.284
20402060604.0,1205000202.0,0.673,0.284
20402060604.0,1205000187.0,0.673,0.284
20402060604.0,1205000197.0,0.673,0.284
20402060604.0,1205000185.0,0.673,0.284
20402060604.0,1205000184.0,0.673,0.284
20402060604.0,1205000188.0,0.673,0.284
20402060604.0,1205000193.0,0.648,0.267
20402060604.0,1205000201.0,0.673,0.284
20402060604.0,1205000209.0,0.673,0.284
20402060604.0,1205000189.0,0.673,0.284
20402060604.0,1205000190.0,0.673,0.284
20402060604.0,1205000186.0,0.664,0.285
20402060604.0,1205000196.0,0.673,0.284
20402060605.0,1205000207.0,0.666,0.29
20402060605.0,1205000209.0,0.666,0.29
20402060605.0,1205000203.0,0.653,0.286
20402060605.0,1205000206.0,0.666,0.29
20402060605.0,430005400027.0,0.666,0.29
20402060701.0,430005400030.0,0.656,0.226
20402060701.0,430005400028.0,0.653,0.201
20402060701.0,430005400031.0,0.639,0.201
20402060701.0,430005400029.0,0.57,0.201
20402060701.0,1205000130.0,0.666,0.226
20402060702.0,1205000123.0,0.788,0.226
20402060702.0,1205000124.0,0.788,0.226
20402060702.0,1205000125.0,0.788,0.226
20402060703.0,1205000210.0,0.788,0.294
20402060703.0,1205000124.0,0.788,0.294
20403030304.0,2305540001.0,1.414,0.546
20403030602.0,2305540001.0,1.194,0.494
20403040501.0,4605000006.0,1.267,0.539
20501010606.0,1205000052.0,1.088,0.0
20501011105.0,1205000070.0,0.998,0.0
20501011203.0,1205000067.0,0.998,0.0
20501011313.0,2305060002.0,1.134,0.0
20501011313.0,2305060001.0,1.377,0.0
20501020405.0,2305190001.0,0.748,0.0
20501020406.0,2305190001.0,0.746,0.0
20501020406.0,2305310001.0,0.749,0.0
20501020408.0,2305310001.0,0.783,0.0
20501020606.0,1205000005.0,1.448,0.0
20501020610.0,2305240001.0,1.13,0.0
20501020805.0,2305160002.0,0.707,0.0
20501020805.0,2305160001.0,0.683,0.0
20501020810.0,2305060001.0,0.761,0.0
20501020810.0,2305060003.0,0.617,0.0
20501030105.0,2305130001.0,0.599,0.0
20501030105.0,1205000023.0,0.726,0.0
20501030201.0,1205000014.0,1.834,0.0
20501030201.0,2305060003.0,1.619,0.0
20501030201.0,2305130002.0,1.822,0.0
