Region,Segment,Single & 2-4 Family Home Indicator,Inland Flood Fluvial Building,Inland Flood Fluvial Contents,Inland Flood Pluvial Building,Inland Flood Pluvial Contents,Storm Surge Building,Storm Surge Contents,Tsunami Building,Tsunami Contents,Great Lakes Building,Great Lakes Contents,Coastal Erosion Building,Coastal Erosion Contents
NY,2.0,No,1.708,2.524,4.569,6.172,74.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,2.0,No,4.033,6.616,5.236,8.221,0.281,0.348,0.0,0.0,0.0,0.0,0.0,0.0
RI,2.0,No,0.569,1.582,17.518,8.335,0.207,0.185,0.0,0.0,0.0,0.0,0.0,0.0
VA,2.0,No,3.38,6.26,6.356,11.537,1.755,1.079,0.0,0.0,0.0,0.0,0.919,0.683
AR,3.0,No,4.081,7.608,3.262,5.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,3.0,No,8.729,10.915,2.724,4.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,3.0,No,10.303,13.217,2.142,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,3.0,No,4.986,2.128,5.822,6.697,0.0,0.0,0.0,0.0,7.552,16.134,0.0,0.0
KS,3.0,No,3.123,4.288,4.707,5.861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"KY, WV",3.0,No,0.322,0.878,9.297,14.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,3.0,No,4.415,2.499,8.095,8.602,0.0,0.0,0.0,0.0,7.552,2.211,0.0,0.0
MN,3.0,No,1.916,1.55,3.683,6.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,3.0,No,3.371,4.445,3.382,4.953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,3.0,No,2.925,3.75,3.018,6.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,3.0,No,6.373,9.523,6.823,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,3.0,No,4.795,6.944,1.861,3.017,0.0,0.0,0.0,0.0,4.259,1.377,0.0,0.0
OK,3.0,No,2.238,4.32,9.4,12.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,3.0,No,3.981,6.11,1.8,2.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,3.0,No,10.61,15.802,1.758,2.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VT,3.0,No,0.0,0.0,3.513,1.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,3.0,No,1.485,9.77,4.226,0.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,4.0,No,4.086,4.595,5.588,9.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,4.0,No,2.165,3.274,6.307,8.135,0.0,0.0,1.705,1.729,0.0,0.0,0.0,0.0
CO,4.0,No,1.727,3.917,5.169,5.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,4.0,No,0.143,0.799,15.267,8.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,4.0,No,1.911,2.198,3.093,2.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,4.0,No,1.218,1.15,3.303,2.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV,4.0,No,5.995,7.051,2.0,2.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR,4.0,No,2.268,4.606,4.198,2.872,0.0,0.0,33.528,29.533,0.0,0.0,0.0,0.0
UT,4.0,No,0.195,0.82,5.271,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA,4.0,No,5.465,7.996,1.94,2.377,0.0,0.0,6.012,24.023,0.0,0.0,0.0,0.0
WY,4.0,No,0.091,0.0,8.668,15.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,5.0,No,1.043,0.427,0.681,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AS, GU, HI, MP",5.0,No,4.664,3.543,2.761,2.106,7.173,2.357,3.387,1.253,0.0,0.0,0.23,0.0
"PR, VI",5.0,No,1.325,3.238,0.491,3.068,1.621,1.718,0.0,0.0,0.0,0.0,0.0,0.0
