HUC12,Inland Flood,Storm Surge
10200050401.0,2.261,0.773
10200050402.0,2.261,0.775
10200050403.0,2.261,0.777
10200050404.0,2.261,0.777
10200050405.0,2.261,0.777
10200050406.0,2.261,0.793
10200050407.0,2.261,0.777
10200050408.0,2.261,0.77
10200050501.0,1.409,0.8
10200050502.0,1.349,0.8
10200050503.0,1.301,0.799
10200050504.0,1.604,0.798
10200050505.0,1.357,0.799
10200050506.0,1.267,0.798
10200050507.0,2.165,0.788
10200050508.0,1.383,0.8
10200050509.0,1.39,0.799
10200050510.0,1.031,0.797
10200050601.0,1.715,0.803
10200050602.0,1.451,0.802
10200050603.0,1.587,0.798
10200050701.0,1.181,0.436
10200050702.0,1.16,0.437
10200050703.0,1.127,0.442
10200050704.0,1.265,0.443
10200050705.0,1.337,0.45
10200050706.0,1.145,0.443
10200050707.0,1.219,0.404
10200050801.0,1.294,0.801
10200050802.0,1.381,0.801
10200050803.0,1.458,0.801
10200050804.0,1.844,0.798
10200050805.0,1.344,0.799
10200050901.0,1.21,0.626
10200050902.0,1.37,0.625
10200050903.0,1.512,0.625
10200050904.0,1.183,0.628
10200050905.0,1.184,0.624
10200050906.0,1.507,0.595
10200051001.0,2.085,0.777
10200051002.0,1.855,0.746
10200051003.0,2.261,0.884
10200051004.0,1.526,0.786
10200051005.0,1.823,0.778
10200051006.0,2.261,0.778
10200051007.0,2.221,0.72
10200051008.0,1.699,0.786
10200051009.0,1.813,0.77
10300010101.0,1.172,0.0
10300010102.0,1.172,0.0
10300010201.0,1.172,0.0
10300010202.0,1.172,0.0
10300010203.0,1.172,0.0
10300010204.0,1.172,0.0
10300010205.0,1.167,0.0
10300010206.0,1.167,0.0
10300010301.0,1.218,0.0
10300010302.0,1.847,0.0
10300010303.0,1.2,0.0
10300010304.0,1.211,0.0
10300010305.0,1.254,0.0
10300010306.0,1.254,0.0
10300010307.0,1.209,0.0
10300010308.0,1.248,0.0
10300010309.0,1.266,0.0
10300010310.0,1.197,0.0
10300010401.0,1.105,0.0
10300010402.0,1.105,0.0
10300010403.0,1.107,0.0
10300010404.0,1.105,0.0
10300010501.0,1.418,0.0
10300010502.0,1.418,0.0
10300010503.0,1.371,0.0
10300010504.0,1.418,0.0
10300010505.0,1.342,0.0
10300010506.0,1.26,0.0
10300010507.0,1.358,0.0
10300010508.0,1.418,0.0
10300010509.0,1.418,0.0
10300010510.0,1.408,0.0
10300010601.0,1.135,0.0
10300010602.0,1.123,0.0
10300010603.0,1.13,0.0
10300010604.0,1.124,0.0
10300010605.0,1.108,0.0
10300010606.0,1.108,0.0
10300010607.0,1.108,0.0
10300010608.0,1.142,0.0
10300010609.0,1.124,0.0
10300010610.0,1.124,0.0
10300020101.0,1.226,0.0
10300020102.0,1.212,0.0
10300020103.0,1.21,0.0
10300020104.0,1.218,0.0
10300020105.0,1.218,0.0
10300020106.0,1.188,0.0
10300020201.0,1.252,0.0
10300020202.0,1.266,0.0
10300020203.0,1.279,0.0
10300020204.0,1.279,0.0
10300020301.0,1.458,0.0
10300020302.0,1.555,0.0
10300020303.0,1.555,0.0
10300020304.0,1.373,0.0
10300020401.0,1.269,0.0
10300020402.0,1.269,0.0
10300020403.0,1.326,0.0
10300020404.0,1.269,0.0
10300020405.0,1.269,0.0
10300020406.0,1.269,0.0
10300020501.0,1.248,0.0
10300020502.0,1.248,0.0
10300020503.0,1.252,0.0
10300020504.0,1.253,0.0
10300020505.0,1.252,0.0
10300020506.0,1.252,0.0
10300030101.0,1.398,0.0
10300030102.0,1.355,0.0
10300030103.0,1.589,0.0
10300030104.0,1.406,0.0
10300030105.0,1.353,0.0
10300030106.0,1.355,0.0
10300030201.0,1.262,0.0
10300030202.0,1.262,0.912
10300030203.0,1.241,0.0
10300030301.0,1.675,1.054
10300030302.0,1.439,1.055
10300030303.0,1.344,1.055
10300030304.0,1.467,1.055
10300030401.0,1.265,0.0
10300030402.0,1.688,0.0
10300030501.0,1.312,0.0
10300030502.0,1.212,0.0
10300030503.0,1.377,1.053
10300030601.0,1.167,1.055
10300030602.0,1.287,1.055
10300030701.0,1.266,0.0
10300030702.0,1.268,1.056
10300030703.0,1.271,1.056
10300030801.0,1.286,1.055
10300030802.0,1.148,1.054
10300030803.0,1.236,1.054
10300030804.0,1.349,1.054
10300030901.0,1.543,0.0
10300030902.0,1.479,0.0
10300030903.0,1.469,0.0
10300030904.0,1.307,1.054
10300030905.0,1.524,1.052
10300031001.0,1.034,1.053
10300031002.0,1.105,1.053
10300031003.0,1.196,1.05
10300031004.0,1.275,1.051
10300031101.0,1.169,1.049
10300031102.0,1.284,1.051
10300031103.0,1.04,1.05
10300031201.0,1.465,1.053
10300031202.0,1.297,1.052
10300031203.0,1.32,1.053
10300031204.0,1.31,1.052
10300031205.0,1.359,1.051
10300031206.0,1.627,1.048
10300031301.0,1.451,1.048
10300031302.0,1.966,1.042
10300031401.0,1.126,1.052
10300031402.0,1.09,1.053
10300031403.0,1.019,1.051
10300031404.0,1.117,1.053
10300031405.0,1.236,1.053
10300031501.0,2.261,1.049
10300031502.0,1.838,1.043
10300031503.0,1.631,1.049
10300031504.0,1.412,1.049
10300031505.0,1.606,1.046
10300031506.0,1.319,1.048
10300031507.0,1.779,1.041
10300031601.0,1.194,1.053
10300031602.0,1.226,1.053
10300031603.0,1.192,1.053
10300031604.0,1.124,1.051
10300031605.0,1.116,1.053
10300031606.0,1.651,1.048
10300031701.0,1.567,1.048
10300031702.0,1.128,1.049
10300031801.0,1.269,1.053
10300031802.0,2.227,1.053
10300031803.0,1.389,1.053
10300031804.0,1.541,1.053
10300031805.0,1.425,1.052
10300031806.0,1.638,1.05
10300031901.0,1.115,1.052
10300031902.0,1.168,1.053
10300031903.0,1.302,1.053
10300031904.0,1.333,1.051
10300032001.0,1.681,1.053
10300032002.0,2.261,1.046
10300032003.0,1.431,1.053
10300032004.0,1.564,1.053
10300032005.0,2.048,1.053
10300032101.0,1.151,1.045
10300032102.0,1.48,1.049
10300032103.0,1.736,1.046
10300032104.0,1.541,1.043
10300032105.0,1.368,1.049
10300032106.0,1.453,1.047
10300032201.0,1.073,1.044
10300032202.0,1.004,1.04
10300032203.0,1.125,1.045
10300032204.0,1.189,1.043
10300032205.0,0.749,1.043
10300032301.0,0.67,1.04
10300032302.0,0.749,1.046
10300032303.0,1.027,1.039
10300032304.0,0.758,1.046
10300032305.0,0.771,1.038
10300032306.0,0.729,1.04
10300032307.0,0.821,1.046
10300032308.0,0.926,1.041
10300032309.0,0.917,1.042
10300032401.0,1.273,1.055
10300032402.0,1.566,1.052
10300032403.0,1.22,1.056
10300032404.0,1.556,1.047
10300032405.0,1.093,1.05
10300032406.0,1.295,1.052
10300032407.0,1.292,1.055
10300032408.0,1.153,1.074
10300032409.0,1.703,1.012
10400010101.0,1.431,0.0
10400010102.0,1.402,0.0
10400010103.0,1.436,0.0
10400010104.0,1.372,0.0
10400010105.0,1.327,0.0
10400010106.0,1.433,0.0
10400010107.0,1.617,0.0
10400010108.0,1.346,0.0
10400010109.0,1.451,0.0
10400010110.0,1.372,0.0
10400010201.0,1.264,0.0
10400010202.0,1.332,0.0
10400010203.0,1.551,0.0
10400010301.0,1.254,0.0
10400010302.0,1.254,0.0
10400010303.0,1.254,0.0
10400010304.0,1.243,0.0
10400010305.0,1.243,0.0
10400010306.0,1.289,0.0
10400010401.0,1.416,0.0
10400010402.0,1.387,0.0
10400010403.0,1.359,0.0
10400010404.0,1.414,0.0
10400010405.0,1.387,0.0
10400010406.0,1.421,0.0
10400010501.0,1.223,0.0
10400010502.0,1.269,0.0
10400010601.0,0.888,0.0
10400010602.0,1.016,0.0
10400010603.0,0.825,0.0
10400010604.0,0.844,0.0
10400010605.0,0.705,0.0
10400010606.0,0.87,0.0
10400020101.0,1.183,0.0
10400020102.0,1.299,0.0
10400020103.0,1.021,0.0
10400020201.0,0.982,0.84
10400020202.0,1.025,0.839
10400020203.0,1.041,0.836
10400020204.0,0.914,0.838
10400020205.0,1.054,0.0
10400020206.0,0.996,0.0
10400020207.0,1.028,0.838
10400020301.0,1.11,0.0
10400020302.0,1.16,0.0
10400020303.0,0.97,0.0
10400020304.0,0.988,0.0
10400020305.0,1.265,0.0
10400020401.0,1.222,0.84
10400020402.0,1.394,0.0
10400020403.0,1.351,0.0
10400020404.0,1.441,0.0
10400020405.0,1.58,0.0
10400020406.0,1.259,0.833
10400020501.0,1.213,0.835
10400020502.0,1.04,0.835
10400020503.0,1.016,0.836
10400020504.0,1.164,0.837
10400020505.0,0.954,0.831
10400020601.0,0.899,0.85
10400020602.0,0.778,0.849
10400020603.0,0.935,0.849
10400020604.0,0.792,0.849
10400020605.0,1.377,0.847
10400020606.0,0.964,0.85
10400020701.0,0.863,0.839
10400020702.0,0.951,0.838
10400020703.0,0.734,0.837
10400020704.0,0.78,0.835
10400020801.0,0.644,0.857
10400020802.0,0.587,0.856
10400020803.0,0.622,0.854
10400020901.0,0.768,0.873
